ts,pid,rss_kb,comm
15:32:50,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:52,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:54,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:56,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:59,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:01,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:01,92894,338736,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:01,92913,26448,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:33:03,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:03,92894,357760,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:03,92913,26448,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:33:05,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:05,92894,940000,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:05,92913,26448,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:33:07,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:07,92894,1261776,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:07,92913,41440,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:33:09,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:11,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:13,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:15,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:17,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:20,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:22,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:24,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:26,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:28,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:30,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:32,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:34,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:36,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:39,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:41,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:43,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:45,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:47,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:49,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:51,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:53,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:55,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:33:57,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:00,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:02,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:04,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:06,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:08,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:10,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:12,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:14,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:16,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:18,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:21,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:23,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:25,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:27,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:29,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:31,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:33,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:33,94110,319712,gopls
15:34:33,94113,27120,/Users/michael.pursifull/go/bin/gopls
15:34:35,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:35,94110,1600944,gopls
15:34:35,94113,27120,/Users/michael.pursifull/go/bin/gopls
15:34:37,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:37,94110,1716896,gopls
15:34:37,94113,27120,/Users/michael.pursifull/go/bin/gopls
15:34:39,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:40,94110,1741248,gopls
15:34:40,94113,27120,/Users/michael.pursifull/go/bin/gopls
15:34:42,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:44,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:46,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:48,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:50,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:52,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:54,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:34:56,92666,28592,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
